Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AE1,Antenna,whip_antenna,7.4,24.1,0.0,top
BT1,Battery_Cell,MY-2032-12,7.5,14.5,270.0,bottom
C1,10u,C_0402_1005Metric,11.9,17.9,180.0,top
C2,10u,C_0402_1005Metric,7.85,8.0,-90.0,top
C3,10u,C_0402_1005Metric,9.3,8.0,-90.0,top
C4,68p,C_0402_1005Metric,3.7,18.9,180.0,top
C5,47n,C_0402_1005Metric,4.9,17.9,180.0,top
C6,2.7p,C_0402_1005Metric,8.0,19.4,90.0,top
C7,15p,C_0402_1005Metric,5.6,19.9,180.0,top
C8,6.8p,C_0402_1005Metric,5.3,22.7,180.0,top
C9,470n,C_0402_1005Metric,2.8,11.9,180.0,top
C10,10u,C_0402_1005Metric,2.8,13.2,180.0,top
C11,10u,C_0402_1005Metric,10.7,8.0,-90.0,top
C12,10u,C_0402_1005Metric,3.0,17.9,180.0,top
C13,10u,C_0402_1005Metric,2.9,6.3,-90.0,top
C14,10u,C_0402_1005Metric,2.9,4.4,90.0,top
C15,10u,C_0402_1005Metric,6.4,8.4,0.0,top
D1,RED,LED_0603_1608Metric,9.6,21.3,0.0,top
H1,tooling,toolinghole,2.5,24.6,0.0,top
H2,tooling,toolinghole,13.0,3.8,0.0,top
J1,DNP,PinHeader_1x05_P2.54mm_Horizontal,7.425,-3.5,-90.0,top
J2,Conn_01x01_Pin,small_pad,10.0,24.1,0.0,top
L1,68n,L_0402_1005Metric,5.6,18.9,0.0,top
L2,10n,L_0402_1005Metric,7.0,19.4,90.0,top
L3,18n,L_0402_1005Metric,6.1,21.3,90.0,top
L4,15n,L_0402_1005Metric,7.515,18.0,0.0,top
R1,DNP,R_0402_1005Metric,10.7,5.9,-90.0,top
R2,0R,R_0402_1005Metric,11.7,5.9,-90.0,top
R3,4k7,R_0402_1005Metric,10.4,19.41,90.0,top
R4,33k,R_0402_1005Metric,9.3,19.4,-90.0,top
SW1,BOOT,SW_1TS026A,12.2,20.2,-90.0,top
U1,STM32WLE5CBUx,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,8.6,13.3,90.0,top
U2,XC6206P332MR,SOT-23,5.1,5.5625,90.0,top
Y1,32MHz,Crystal_SMD_2016-4Pin_2.0x1.6mm,3.05,15.3,90.0,top
