Comment,Designator,Footprint,LCSC,Quantity
STM32WLE5CBUx,U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,C1121847,1
68p,C4,C_0402_1005Metric,C14441,1
15p,C7,C_0402_1005Metric,C1548,1
10u,"C1,C10,C11,C12,C13,C14,C15,C2,C3",C_0402_1005Metric,C15525,9
2.7p,C6,C_0402_1005Metric,C1561,1
6.8p,C8,C_0402_1005Metric,C1576,1
0R,R2,R_0402_1005Metric,C17168,1
RED,D1,LED_0603_1608Metric,C2286,1
33k,R4,R_0402_1005Metric,C25779,1
4k7,R3,R_0402_1005Metric,C25900,1
10n,L2,L_0402_1005Metric,C27147,1
47n,C5,C_0402_1005Metric,C272875,1
32MHz,Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,C383840,1
470n,C9,C_0402_1005Metric,C47339,1
XC6206P332MR,U2,SOT-23,C5446,1
18n,L3,L_0402_1005Metric,C86060,1
BOOT,SW1,SW_1TS026A,C913778,1
68n,L1,L_0402_1005Metric,C98000,1
DNP,R1,R_0402_1005Metric,,1
Battery_Cell,BT1,MY-2032-12,,1
